Time,Pressure,Temperature from Pressure,Temperature from Humidity,Humidity,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Compass X,Compass Y,Compass Z,Pitch,Roll,Yaw
2018-11-13 08:41:13.173565,385.43994140625,58.26041666666667,58.203125,28.890625,-0.944229989141,0.241324997225,0.241569997222,-0.0175000000438,-0.0350000000875,0.0,15.4420000927,30.4080001824,16.3100000979,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.237936,385.482177734375,58.25833333333333,58.203125,28.890625,-0.94177998917,0.232749997323,0.239364997247,-0.070000000175,-0.14000000035,0.0175000000438,29.1340001748,36.498000219,27.5240001651,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.304676,385.460205078125,58.275,58.1875,28.87890625,-0.939819989192,0.226869997391,0.244509997188,-0.070000000175,-0.0875000002187,0.0525000001313,27.5660001654,22.2740001336,31.7800001907,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.378592,385.47021484375,58.295833333333334,58.1875,28.87890625,-0.936879989226,0.233484997315,0.242794997208,-0.0175000000438,0.0175000000438,0.070000000175,29.8620001792,29.2740001756,31.0100001861,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.442720,385.474853515625,58.28125,58.203125,29.00390625,-0.947414989105,0.233239997318,0.242059997216,0.0,0.157500000394,0.0175000000438,34.0340002042,32.2420001935,29.6940001782,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.506396,385.483642578125,58.3,58.203125,29.00390625,-0.950109989074,0.227604997383,0.242304997213,0.0175000000438,0.105000000263,0.0,22.5400001352,42.1960002532,16.5620000994,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.580419,385.449951171875,58.29375,58.203125,29.00390625,-0.949374989082,0.230054997354,0.235199997295,-0.070000000175,0.0175000000438,0.0175000000438,14.2800000857,29.2740001756,4.32600002596,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.643477,385.4267578125,58.233333333333334,58.21875,29.0078125,-0.946434989116,0.234954997298,0.246714997163,0.0,0.0,-0.0175000000438,14.0280000842,19.0540001143,12.8800000773,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.706267,385.42236328125,58.275,58.21875,29.0078125,-0.94520998913,0.235199997295,0.24867499714,0.0350000000875,-0.0350000000875,0.0,15.3160000919,31.3180001879,3.51400002108,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.780131,385.432373046875,58.26875,58.21875,29.0078125,-0.940554989184,0.234709997301,0.251859997104,0.0875000002187,0.0,0.0175000000438,8.61000005166,55.3840003323,-10.5280000632,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.842932,385.45947265625,58.24791666666667,58.203125,29.06640625,-0.935899989237,0.239364997247,0.242059997216,0.0,0.0525000001313,0.0175000000438,-14.2380000854,47.0540002823,1.02200000613,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.906811,385.457275390625,58.20833333333333,58.203125,29.06640625,-0.942269989164,0.243284997202,0.250634997118,0.0,0.0,0.0,12.7540000765,37.5900002255,12.3480000741,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:13.969711,385.464111328125,58.19791666666667,58.203125,29.06640625,-0.949619989079,0.230544997349,0.244019997194,0.0175000000438,-0.0525000001313,-0.070000000175,6.31400003788,26.5440001593,19.0820001145,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:14.042666,385.450927734375,58.21458333333334,58.203125,29.15625,-0.946679989113,0.228584997371,0.249654997129,0.0175000000438,-0.0525000001313,-0.0525000001313,8.49800005099,20.4820001229,35.0140002101,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:14.107313,385.464599609375,58.2125,58.203125,29.15625,-0.939819989192,0.234464997304,0.257494997039,0.0175000000438,-0.0525000001313,-0.070000000175,18.662000112,24.2200001453,44.8840002693,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:14.181837,385.458740234375,58.18125,58.203125,29.17578125,-0.939329989198,0.237894997264,0.251369997109,0.0,-0.0875000002187,0.0,10.9340000656,20.2720001216,12.2220000733,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:14.244230,385.43408203125,58.141666666666666,58.203125,29.17578125,-0.93736998922,0.241079997228,0.242059997216,0.0350000000875,-0.0875000002187,-0.0175000000438,0.784000004704,9.35200005611,-2.8840000173,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:14.307173,385.4541015625,58.1125,58.1875,29.1328125,-0.931489989288,0.233484997315,0.236669997278,0.0350000000875,-0.0525000001313,0.070000000175,19.9500001197,17.5140001051,-5.32000003192,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:14.381246,385.428955078125,58.06875,58.1875,29.1328125,-0.939084989201,0.233729997312,0.236914997275,0.0,0.0,0.0350000000875,12.8660000772,28.0140001681,7.40600004444,109.79644330794875,223.90823154834416,153.6952414479863
2018-11-13 08:41:14.444535,385.44384765625,58.08958333333334,58.1875,29.1953125,-0.947659989102,0.232994997321,0.241569997222,0.0350000000875,0.0350000000875,0.0875000002187,11.6480000699,43.9460002637,6.31400003788,109.79644330794875,223.90823154834416,153.6952414479863
